Kepler_ID,Teff,kepmag,Log_G
1720830,5762,16.298,4.405
1721133,5677,15.175,4.683
1721150,5924,13.910,4.485
1721178,5690,16.192,4.569
1721202,5671,16.924,4.351
1721213,5867,15.654,4.590
1721250,5795,16.657,4.400
1721335,5766,14.351,4.206
1721339,5682,16.886,4.635
1721439,5873,15.435,4.690
1721497,5816,16.370,4.484
1721565,5644,16.108,4.525
1721588,5772,15.841,4.359
1721617,5821,16.074,4.347
1721740,5637,16.034,4.403
1721879,5788,13.946,4.439
1721928,5847,16.989,4.255
1722049,5706,16.640,4.237
1722078,5835,15.359,4.214
1722211,5853,16.210,4.229
1722237,5896,15.734,4.488
1722289,5693,14.568,4.324
1722303,5711,14.810,4.506
1722371,5865,16.393,4.459
1722391,5782,16.254,4.260
1722403,5742,16.999,4.337
1722416,5899,16.558,4.446
1722524,5820,16.757,4.245
1722549,5792,13.699,4.355
1722613,5900,16.187,4.303
1722731,5700,16.955,4.395
1722735,5713,15.477,4.652
1722750,5663,16.494,4.223
1722752,5893,16.929,4.294
1722771,5861,16.087,4.327
1722786,5629,16.285,4.325
1722888,5698,16.188,4.263
1722986,5823,16.280,4.285
1723046,5695,16.464,4.352
1723073,5706,14.697,4.219
1723102,5688,15.246,4.204
1723222,5845,16.059,4.455
1723241,5832,16.764,4.292
1723251,5840,15.404,4.276
1723252,5780,16.141,4.477
1723305,5757,16.412,4.345
1723338,5646,14.244,4.306
1723345,5667,15.943,4.485
1723416,5720,16.828,4.672
1723455,5902,13.420,4.454
1723471,5735,15.946,4.529
1723510,5696,15.945,4.393
1723540,5883,16.669,4.574
1723627,5826,16.278,4.410
1723629,5790,16.238,4.343
1723908,5764,13.274,4.258
1723918,5775,15.737,4.571
1723936,5885,16.156,4.435
1723952,5692,16.813,4.344
1723953,5795,16.444,4.333
1723960,5784,16.526,4.872
1723978,5653,14.132,4.504
1724008,5880,16.919,4.651
1724033,5828,16.849,4.296
1724060,5803,16.781,4.431
1724081,5913,15.817,4.342
1724151,5900,16.850,4.400
1724195,5731,16.405,4.231
1724268,5733,16.024,4.374
1724276,5681,16.789,4.507
1724287,5798,15.077,4.376
1724302,5716,16.026,4.388
1724340,5718,16.679,4.363
1724461,5660,15.262,4.265
1724528,5770,16.303,4.323
1724529,5813,12.712,4.260
1724534,5684,15.518,4.307
1724616,5745,15.896,4.601
1724750,5796,15.703,4.437
1724812,5646,16.624,4.491
1724835,5827,16.747,4.543
1724836,5694,16.456,4.496
1724848,5810,15.478,4.403
1724858,5707,15.553,4.435
1725016,5665,15.242,4.473
1725017,5866,13.581,4.388
1725032,5873,15.658,4.422
1725096,5848,15.001,4.475
1725133,5768,14.973,4.486
1725193,5802,14.502,4.384
1725250,5655,16.738,4.364
1725310,5795,14.954,4.377
1725354,5643,16.911,4.670
1725372,5769,15.051,4.695
1725415,5764,14.513,4.658
1725440,5757,16.774,4.331
1725474,5826,16.689,4.587
1725502,5720,15.411,4.335
1725555,5840,14.852,4.486
1725572,5742,16.894,4.394
1725598,5628,16.604,4.542
1725606,5837,16.950,4.350
1725622,5875,16.655,4.325
1725635,5850,16.645,4.217
1725797,5807,16.499,4.297
1725803,5674,16.959,4.218
1725838,5896,16.295,4.371
1725914,5817,14.487,4.203
1725943,5660,16.561,4.617
1725949,5809,16.489,4.527
1725980,5695,16.162,4.340
1725997,5671,15.829,4.637
1726021,5751,16.098,4.391
1726026,5729,16.302,4.209
1726045,5664,14.525,4.311
1726065,5902,16.622,4.688
1726066,5649,15.903,4.414
1726097,5711,13.955,4.362
1726131,5911,15.792,4.408
1726203,5907,14.738,4.231
1726235,5740,16.167,4.313
1726270,5804,16.068,4.612
1726288,5652,16.221,4.328
1726350,5896,16.025,4.222
1726359,5914,16.878,4.205
1726365,5802,16.997,4.306
1726379,5843,16.924,4.311
1726429,5816,16.737,4.271
1726512,5710,16.085,4.350
1726587,5732,16.795,4.310
1726626,5787,15.886,4.372
1726636,5763,15.595,4.470
1726688,5673,14.843,4.302
1726707,5725,16.092,4.271
1726717,5920,15.565,4.343
1849091,5800,15.713,4.413
1849257,5896,16.467,4.332
1849268,5858,16.243,4.408
1849272,5857,15.915,4.565
1849301,5675,16.972,4.402
1849321,5762,14.746,4.581
1849398,5704,15.384,4.490
1849526,5746,16.182,4.634
1849552,5815,16.060,4.201
1849567,5891,16.909,4.395
1849639,5753,15.053,4.457
1849656,5688,14.681,4.403
1849664,5654,14.910,4.434
1849698,5766,14.652,4.348
1849716,5826,16.359,4.403
1849744,5698,15.561,4.382
1849767,5657,15.853,4.338
1849785,5735,14.751,4.490
1849814,5843,16.898,4.279
1849843,5822,16.445,4.703
1849848,5924,15.592,4.542
1849912,5661,15.579,4.385
1849964,5668,15.973,4.557
1850064,5660,16.835,4.499
1850099,5743,16.970,4.422
1850105,5819,15.819,4.302
1850194,5740,15.218,4.424
1863905,5763,13.887,4.235
1863968,5808,15.842,4.271
1863981,5638,16.057,4.491
1863993,5688,16.368,4.541
1864053,5695,15.638,4.371
1864057,5630,16.980,4.362
1864067,5776,16.040,4.409
1864077,5925,15.500,4.391
1864134,5724,16.371,4.516
1864150,5914,16.521,4.441
1864161,5908,16.259,4.621
1864172,5803,15.479,4.337
1864201,5828,15.334,4.349
1864241,5851,16.954,4.515
1864269,5846,14.477,4.215
1864292,5827,15.744,4.376
1864295,5839,15.458,4.306
1864327,5674,16.640,4.309
1864356,5657,15.617,4.412
1864412,5664,16.426,4.426
1864416,5730,16.219,4.609
1864429,5900,16.744,4.363
1864500,5725,16.865,4.283
1864551,5744,16.856,5.000
1864583,5811,16.014,4.522
1864621,5841,16.790,4.801
1864712,5736,16.690,4.540
1864743,5651,15.374,4.298
1864835,5635,16.710,4.499
1864891,5751,15.630,4.737
1864947,5820,16.468,4.410
1864963,5862,15.028,4.485
1865050,5873,16.719,4.281
1865083,5664,16.071,4.299
1865084,5704,16.870,4.442
1865140,5869,16.624,4.294
1865146,5751,16.196,4.494
1865152,5677,14.947,5.082
1865230,5855,16.662,4.493
1865231,5691,14.556,4.316
1865285,5806,15.953,4.239
1865446,5743,15.666,4.595
1865524,5677,16.290,4.386
1865531,5716,15.601,4.302
1865562,5898,15.408,4.377
1865591,5738,16.814,4.345
1865629,5641,16.280,4.405
1865653,5895,16.951,4.320
1865726,5877,16.916,4.294
1865738,5719,16.716,4.550
1865739,5717,16.014,4.549
1865750,5701,16.652,4.248
1865826,5825,16.987,4.242
1865968,5870,16.912,4.343
1866036,5791,14.357,4.296
1866052,5852,16.772,4.260
1866165,5633,15.485,4.264
1866236,5783,15.871,4.470
1866248,5708,16.720,4.314
1866252,5809,13.505,4.282
1866278,5739,16.840,4.401
1866283,5654,15.733,4.404
1866286,5666,15.254,4.234
1866321,5797,16.731,4.533
1866467,5732,16.198,4.347
1866484,5784,15.981,4.225
1866489,5776,16.580,4.340
1866557,5690,16.286,4.246
1867027,5790,16.594,4.220
1867076,5673,15.790,4.479
1867338,5876,16.948,4.204
1867359,5788,16.838,4.652
1867433,5646,16.943,4.291
1867702,5765,12.766,4.333
